loss,params,iteration,accuracy,f1,precision,recall
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 15},)}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.003924854736976476, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5828,1.7269,17,0.8695,0.873,0.8695,0.8698
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 14},)}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.004318498529085376, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5929,1.7216,15,0.8358,0.8425,0.8358,0.8325
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 6},)}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.0036946531543669598, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5981,1.7172,18,0.8421,0.8468,0.8421,0.8416
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 2},)}, 'dropout': 0.5, 'filters': 100, 'learning_rate': 0.014891900120416302, 'optimizer': 'Adam', 'use_batch_norm': False}",1.8135,1.8151,10,0.7242,0.7524,0.7242,0.7315
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 6},)}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.00458889735964443, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4503,2.4578,0,0.0547,0.003,0.0547,0.0057
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 10},)}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.002577781689756622, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5799,1.6999,21,0.8253,0.8364,0.8253,0.8262
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 10},)}, 'dropout': 0.1, 'filters': 100, 'learning_rate': 0.0014707195032685424, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6048,1.7308,22,0.8611,0.8661,0.8611,0.8609
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 15}, {'filter2': 1}, {'filter3': 11})}, 'dropout': 0.5, 'filters': 250, 'learning_rate': 0.0028877641880100976, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4499,2.4494,0,0.1747,0.0305,0.1747,0.052
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 11},)}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.002353122446957534, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5779,1.7201,23,0.8568,0.862,0.8568,0.8571
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 7}, {'filter3': 11})}, 'dropout': 0.3, 'filters': 100, 'learning_rate': 0.001150227495274553, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6209,1.716,20,0.8653,0.8646,0.8653,0.8641
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 5}, {'filter3': 10})}, 'dropout': 0.3, 'filters': 100, 'learning_rate': 0.0011593872106048545, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6236,1.7127,23,0.8611,0.8679,0.8611,0.8627
