loss,params,iteration,accuracy,f1,precision,recall
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 11}, {'filter3': 7})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.005054076214721446, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4572,2.4512,0,0.0316,0.001,0.0316,0.0019
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 14}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0043659228363188895, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5721,1.6936,21,0.8484,0.8506,0.8484,0.8484
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 14}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.008139821036727578, 'optimizer': 'Adam', 'use_batch_norm': False}",1.9233,1.9852,16,0.6674,0.5162,0.6674,0.5759
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 13}, {'filter3': 2})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.005715493433116139, 'optimizer': 'Adam', 'use_batch_norm': True}",2.3401,2.3522,19,0.3116,0.1273,0.3116,0.1739
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 15}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.018621794510369025, 'optimizer': 'Adam', 'use_batch_norm': False}",2.3753,2.3678,0,0.1874,0.1362,0.1874,0.145
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 12}, {'filter3': 3})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0030533502729344288, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4482,2.45,7,0.0674,0.0045,0.0674,0.0085
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 13}, {'filter3': 3})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.006468033122222584, 'optimizer': 'Adam', 'use_batch_norm': False}",1.8371,1.913,17,0.5811,0.4871,0.5811,0.5076
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 14}, {'filter3': 6})}, 'dropout': 0.25, 'filters': 150, 'learning_rate': 0.010840990610843357, 'optimizer': 'Adam', 'use_batch_norm': False}",2.0265,2.0568,22,0.5937,0.4332,0.5937,0.4881
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 10}, {'filter3': 1})}, 'dropout': 0.5, 'filters': 150, 'learning_rate': 0.004794800067331687, 'optimizer': 'Adam', 'use_batch_norm': True}",2.102,2.1117,24,0.6084,0.425,0.6084,0.4943
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 15}, {'filter3': 5})}, 'dropout': 0.4, 'filters': 150, 'learning_rate': 0.007160472537869453, 'optimizer': 'Adam', 'use_batch_norm': False}",1.9342,1.9798,20,0.6589,0.5406,0.6589,0.5838
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 9}, {'filter3': 10})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.004320016020229531, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4562,2.4498,2,0.1453,0.0211,0.1453,0.0368
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 14}, {'filter3': 12})}, 'dropout': 0.45, 'filters': 150, 'learning_rate': 0.0037455945755364324, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6147,1.7285,18,0.8189,0.8374,0.8189,0.8205
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 11}, {'filter3': 6})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.002757708993069776, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5665,1.6931,18,0.8758,0.8859,0.8758,0.8764
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 11}, {'filter3': 8})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.002734172800331331, 'optimizer': 'Adam', 'use_batch_norm': True}",1.9249,1.9796,21,0.6211,0.4605,0.6211,0.5203
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 13}, {'filter2': 12}, {'filter3': 9})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0020726339015593835, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5699,1.7074,17,0.8842,0.887,0.8842,0.8849
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 15}, {'filter2': 7}, {'filter3': 6})}, 'dropout': 0.3, 'filters': 250, 'learning_rate': 0.0018666927225875077, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6868,1.7639,23,0.8316,0.848,0.8316,0.8344
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 11}, {'filter2': 9}, {'filter3': 12})}, 'dropout': 0.35, 'filters': 100, 'learning_rate': 0.001694268462845463, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5988,1.7218,19,0.8316,0.8481,0.8316,0.834
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 10}, {'filter3': 3})}, 'dropout': 0, 'filters': 150, 'learning_rate': 0.0013441545377699301, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5709,1.7056,22,0.8779,0.8844,0.8779,0.8787
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 8}, {'filter3': 8})}, 'dropout': 0.25, 'filters': 150, 'learning_rate': 0.0026138444196774535, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0066,2.0419,21,0.5537,0.3732,0.5537,0.4394
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 12}, {'filter2': 12}, {'filter3': 4})}, 'dropout': 0.2, 'filters': 250, 'learning_rate': 0.00286177493474664, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5713,1.6972,18,0.8463,0.8533,0.8463,0.8469
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 14}, {'filter2': 8}, {'filter3': 11})}, 'dropout': 0.5, 'filters': 100, 'learning_rate': 0.0038783821775177025, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6861,1.747,8,0.8337,0.8471,0.8337,0.8343
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 13}, {'filter3': 7})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.003502969390397325, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.449,2.4497,11,0.2,0.04,0.2,0.0667
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 7}, {'filter3': 10})}, 'dropout': 0.4, 'filters': 150, 'learning_rate': 0.0015427143232904122, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6001,1.7195,22,0.8505,0.8523,0.8505,0.8504
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 15}, {'filter2': 11}, {'filter3': 2})}, 'dropout': 0.45, 'filters': 250, 'learning_rate': 0.0011177571848436745, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0258,2.0565,20,0.5474,0.3766,0.5474,0.437
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 10}, {'filter3': 9})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0030179510359812254, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5819,1.7262,16,0.8758,0.8754,0.8758,0.8747
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 1}, {'filter3': 13})}, 'dropout': 0.05, 'filters': 100, 'learning_rate': 0.002360397176410246, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5713,1.7013,24,0.8379,0.8488,0.8379,0.84
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 15}, {'filter3': 6})}, 'dropout': 0.3, 'filters': 150, 'learning_rate': 0.0018218988194324095, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.5958,1.7291,21,0.8695,0.875,0.8695,0.8704
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 13}, {'filter2': 13}, {'filter3': 14})}, 'dropout': 0, 'filters': 150, 'learning_rate': 0.0020826298416749944, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5614,1.7113,18,0.88,0.8884,0.88,0.88
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 11}, {'filter2': 6}, {'filter3': 4})}, 'dropout': 0.35, 'filters': 250, 'learning_rate': 0.01510981702460308, 'optimizer': 'Adam', 'use_batch_norm': False}",2.4447,2.4442,0,0.1305,0.017,0.1305,0.0301
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 11}, {'filter3': 11})}, 'dropout': 0.05, 'filters': 100, 'learning_rate': 0.0013957205361590074, 'optimizer': 'Adam', 'use_batch_norm': True}",1.7327,1.8314,22,0.7495,0.6608,0.7495,0.6974
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 10}, {'filter3': 8})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.005423882103556292, 'optimizer': 'Adam', 'use_batch_norm': False}",1.7494,1.8533,15,0.7768,0.6912,0.7768,0.7303
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 12}, {'filter3': 15})}, 'dropout': 0.25, 'filters': 150, 'learning_rate': 0.003265417344432681, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4526,2.4452,2,0.0274,0.0007,0.0274,0.0015
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 9}, {'filter3': 7})}, 'dropout': 0.5, 'filters': 150, 'learning_rate': 0.001258285348930129, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6312,1.7269,19,0.8589,0.8647,0.8589,0.8608
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 4}, {'filter3': 6})}, 'dropout': 0.4, 'filters': 250, 'learning_rate': 0.002563576309745202, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6043,1.7247,17,0.8421,0.8431,0.8421,0.8397
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 3}, {'filter3': 5})}, 'dropout': 0.45, 'filters': 100, 'learning_rate': 0.0016532994601699805, 'optimizer': 'Adam', 'use_batch_norm': True}",1.7971,1.8399,24,0.7453,0.743,0.7453,0.7379
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 14}, {'filter2': 2}, {'filter3': 10})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0010003844124989452, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5726,1.7008,24,0.8547,0.8556,0.8547,0.8546
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 12}, {'filter2': 15}, {'filter3': 9})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0011661235905857006, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.5743,1.7307,23,0.8695,0.8721,0.8695,0.8696
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 14}, {'filter3': 14})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.013851741786084, 'optimizer': 'Adam', 'use_batch_norm': False}",2.4503,2.4527,0,0.0695,0.0048,0.0695,0.009
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 13}, {'filter2': 5}, {'filter3': 3})}, 'dropout': 0.3, 'filters': 100, 'learning_rate': 0.002254555623400397, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5905,1.7151,22,0.8737,0.8792,0.8737,0.8744
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 13}, {'filter3': 7})}, 'dropout': 0.35, 'filters': 250, 'learning_rate': 0.0024285839931710057, 'optimizer': 'Adam', 'use_batch_norm': True}",2.1949,2.2024,7,0.4274,0.2232,0.4274,0.2879
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 11}, {'filter3': 1})}, 'dropout': 0, 'filters': 150, 'learning_rate': 0.004148921447753579, 'optimizer': 'Adam', 'use_batch_norm': False}",1.8229,1.9015,11,0.6421,0.4923,0.6421,0.5483
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 14},)}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.0014952186666650177, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.5702,1.7282,23,0.8779,0.8848,0.8779,0.8783
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 8}, {'filter3': 12})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0019720495526061345, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5759,1.7082,18,0.8442,0.8451,0.8442,0.8413
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 9}, {'filter2': 1})}, 'dropout': 0.4, 'filters': 200, 'learning_rate': 0.004757411338375345, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6255,1.7166,21,0.8568,0.8618,0.8568,0.8571
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 6}, {'filter3': 6})}, 'dropout': 0.5, 'filters': 150, 'learning_rate': 0.003084923799536935, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0972,2.1076,24,0.5179,0.3216,0.5179,0.3904
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 12}, {'filter3': 13})}, 'dropout': 0.25, 'filters': 250, 'learning_rate': 0.002747286577206105, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5657,1.7066,24,0.8758,0.8812,0.8758,0.8754
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 6},)}, 'dropout': 0.05, 'filters': 100, 'learning_rate': 0.003373115815182421, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6098,1.733,22,0.8147,0.8314,0.8147,0.8155
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 9}, {'filter3': 8})}, 'dropout': 0.45, 'filters': 200, 'learning_rate': 0.008240461750064217, 'optimizer': 'Adam', 'use_batch_norm': False}",2.1039,2.0944,24,0.4379,0.235,0.4379,0.3033
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 15}, {'filter2': 3})}, 'dropout': 0.15, 'filters': 150, 'learning_rate': 0.001061700304365208, 'optimizer': 'Adam', 'use_batch_norm': False}",1.601,1.7165,18,0.8674,0.8674,0.8674,0.865
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 11}, {'filter2': 7}, {'filter3': 5})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0017935360328156108, 'optimizer': 'Adam', 'use_batch_norm': True}",1.7729,1.8506,17,0.7516,0.6608,0.7516,0.701
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 4}, {'filter3': 2})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.002180070502548467, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5909,1.7008,20,0.8884,0.8922,0.8884,0.8891
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 14}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.005720667567611038, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6586,1.7684,23,0.8379,0.8099,0.8379,0.8215
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 14}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0037717460105117615, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5977,1.6939,9,0.8589,0.871,0.8589,0.8598
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 15}, {'filter3': 6})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.004501343723758354, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5699,1.7059,20,0.8653,0.8711,0.8653,0.8635
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 13}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.004350578499963365, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5865,1.7021,21,0.8463,0.8496,0.8463,0.843
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 13}, {'filter3': 7})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.005179044803181568, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5809,1.7087,23,0.8421,0.8494,0.8421,0.8428
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 15}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.00652682515439192, 'optimizer': 'Adam', 'use_batch_norm': False}",1.7493,1.8436,22,0.7453,0.6427,0.7453,0.6863
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 12}, {'filter3': 3})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.009753875928513431, 'optimizer': 'Adam', 'use_batch_norm': False}",2.0078,2.0271,10,0.5621,0.3896,0.5621,0.447
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 14}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0028551461925875963, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5657,1.7147,21,0.8947,0.8956,0.8947,0.8926
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 10}, {'filter3': 6})}, 'dropout': 0.35, 'filters': 150, 'learning_rate': 0.004007816610372501, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6414,1.7172,10,0.8568,0.8694,0.8568,0.8598
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 11}, {'filter3': 8})}, 'dropout': 0.3, 'filters': 150, 'learning_rate': 0.0074322772404942, 'optimizer': 'Adam', 'use_batch_norm': False}",1.7458,1.7979,23,0.6505,0.5759,0.6505,0.5984
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 14}, {'filter3': 4})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.017265141394920896, 'optimizer': 'Adam', 'use_batch_norm': False}",2.4489,2.4529,0,0.0337,0.0011,0.0337,0.0022
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 12}, {'filter3': 7})}, 'dropout': 0, 'filters': 150, 'learning_rate': 0.003671445327407151, 'optimizer': 'Adam', 'use_batch_norm': False}",1.562,1.7114,23,0.8863,0.8946,0.8863,0.8867
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 15}, {'filter3': 9})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0060904344826784055, 'optimizer': 'Adam', 'use_batch_norm': False}",1.8203,1.8967,12,0.6463,0.4788,0.6463,0.545
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 2}, {'filter3': 6})}, 'dropout': 0.25, 'filters': 200, 'learning_rate': 0.0024936000067161627, 'optimizer': 'Adam', 'use_batch_norm': False}",1.577,1.7076,24,0.8463,0.8486,0.8463,0.8467
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 3},)}, 'dropout': 0.1, 'filters': 250, 'learning_rate': 0.0019276703641801349, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6325,1.7017,17,0.8695,0.8768,0.8695,0.8709
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 15}, {'filter2': 13}, {'filter3': 3})}, 'dropout': 0.4, 'filters': 150, 'learning_rate': 0.003177598346545436, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5949,1.7153,18,0.8168,0.8226,0.8168,0.8173
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 10}, {'filter3': 10})}, 'dropout': 0.5, 'filters': 100, 'learning_rate': 0.00261682674313062, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6346,1.7455,18,0.8168,0.8266,0.8168,0.8193
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 7}, {'filter2': 9})}, 'dropout': 0.15, 'filters': 150, 'learning_rate': 0.0015962500412694102, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.5895,1.7232,20,0.8337,0.8441,0.8337,0.8346
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 11}, {'filter3': 5})}, 'dropout': 0.45, 'filters': 200, 'learning_rate': 0.002114130262214189, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5861,1.7111,23,0.8611,0.8626,0.8611,0.858
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 12}, {'filter3': 7})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0048286358383462565, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6578,1.7742,18,0.8189,0.8,0.8189,0.8008
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 13}, {'filter3': 4})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.003055587465877783, 'optimizer': 'Adam', 'use_batch_norm': True}",2.024,2.0526,20,0.4295,0.2653,0.4295,0.3149
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 13},)}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.00236414637980165, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5758,1.7172,17,0.8463,0.8426,0.8463,0.8409
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 15}, {'filter3': 5})}, 'dropout': 0.35, 'filters': 250, 'learning_rate': 0.003496341805042988, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4504,2.4483,0,0.0358,0.0013,0.0358,0.0025
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 13}, {'filter2': 4})}, 'dropout': 0.3, 'filters': 100, 'learning_rate': 0.0027895486059181596, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5964,1.718,23,0.8463,0.8512,0.8463,0.8469
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 14}, {'filter2': 14}, {'filter3': 2})}, 'dropout': 0, 'filters': 150, 'learning_rate': 0.0017593730999048444, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5709,1.7202,16,0.8737,0.8781,0.8737,0.8749
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 12}, {'filter2': 9}, {'filter3': 8})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.00411481985363812, 'optimizer': 'Adam', 'use_batch_norm': True}",2.2576,2.2717,20,0.2463,0.0845,0.2463,0.1219
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 8}, {'filter3': 11})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.001342973949560115, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5711,1.699,22,0.8232,0.8355,0.8232,0.8266
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 7},)}, 'dropout': 0.1, 'filters': 150, 'learning_rate': 0.005388471772835071, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5874,1.7185,24,0.8484,0.8556,0.8484,0.8496
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 13}, {'filter2': 7}, {'filter3': 6})}, 'dropout': 0.5, 'filters': 200, 'learning_rate': 0.008666272376163875, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4512,2.4522,0,0.0842,0.0071,0.0842,0.0131
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 14}, {'filter3': 9})}, 'dropout': 0.25, 'filters': 250, 'learning_rate': 0.006850626292773578, 'optimizer': 'Adam', 'use_batch_norm': False}",2.0975,2.1297,17,0.4421,0.3089,0.4421,0.3443
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 1}, {'filter2': 7})}, 'dropout': 0.4, 'filters': 150, 'learning_rate': 0.007821147385512428, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6867,1.7423,13,0.8126,0.844,0.8126,0.8187
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 11}, {'filter3': 7})}, 'dropout': 0.05, 'filters': 100, 'learning_rate': 0.002028872053324936, 'optimizer': 'Adam', 'use_batch_norm': True}",1.8248,1.8863,12,0.7074,0.5566,0.7074,0.621
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 12}, {'filter3': 4})}, 'dropout': 0.15, 'filters': 150, 'learning_rate': 0.003358076493067563, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5975,1.7305,24,0.8484,0.8568,0.8484,0.8482
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 10}, {'filter3': 1})}, 'dropout': 0.45, 'filters': 200, 'learning_rate': 0.0014996292606251904, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6063,1.7239,23,0.8547,0.8611,0.8547,0.8563
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 1},)}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.002321294432720163, 'optimizer': 'Adam', 'use_batch_norm': False}",1.7074,1.7503,22,0.8168,0.8268,0.8168,0.8193
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 5}, {'filter3': 6})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.004496592156319663, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5978,1.7015,12,0.8526,0.866,0.8526,0.856
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 9}, {'filter3': 8})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.0016951375671750166, 'optimizer': 'Adam', 'use_batch_norm': True}",2.079,2.1037,14,0.4316,0.206,0.4316,0.2772
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 10}, {'filter2': 8})}, 'dropout': 0.3, 'filters': 250, 'learning_rate': 0.002959849968556563, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5809,1.7174,20,0.8568,0.8597,0.8568,0.8554
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 13}, {'filter3': 12})}, 'dropout': 0.35, 'filters': 150, 'learning_rate': 0.0012238892168320277, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5819,1.7211,24,0.8379,0.8425,0.8379,0.8385
