params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'dropout_prop': 0.1607120301192053, 'hidden_size': 32, 'learning_rate': 0.0037195382654296, 'sent_length': 15, 'use_class_weights': False}",7,1.6798,0.858,1.6867,0.8111,0.8581,0.8323
"{'dropout_prop': 0.030712886803151873, 'hidden_size': 64, 'learning_rate': 0.006680880118381556, 'sent_length': 15, 'use_class_weights': True}",8,1.6006,0.957,1.5958,0.9578,0.9568,0.9568
"{'dropout_prop': 0.061573526591015754, 'hidden_size': 64, 'learning_rate': 0.004163395952530129, 'sent_length': 8, 'use_class_weights': True}",9,1.6024,0.948,1.6027,0.9499,0.9479,0.9483
"{'dropout_prop': 0.3546690969764949, 'hidden_size': 64, 'learning_rate': 0.003250294002889629, 'sent_length': 15, 'use_class_weights': True}",9,1.611,0.948,1.6092,0.9485,0.9479,0.9479
"{'dropout_prop': 0.23189918056601563, 'hidden_size': 32, 'learning_rate': 0.011695959553720832, 'sent_length': 15, 'use_class_weights': True}",8,1.5996,0.961,1.5951,0.9618,0.9612,0.9612
"{'dropout_prop': 0.32675630524752125, 'hidden_size': 64, 'learning_rate': 0.0019847595451941867, 'sent_length': 10, 'use_class_weights': False}",9,1.7569,0.803,1.751,0.7192,0.8027,0.7562
"{'dropout_prop': 0.14277380453265853, 'hidden_size': 64, 'learning_rate': 0.004399840395740391, 'sent_length': 12, 'use_class_weights': True}",9,1.5945,0.942,1.6043,0.9459,0.9424,0.943
"{'dropout_prop': 0.12336067686183003, 'hidden_size': 64, 'learning_rate': 0.005255602719929549, 'sent_length': 15, 'use_class_weights': True}",9,1.5974,0.963,1.5886,0.964,0.9634,0.9634
"{'dropout_prop': 0.11891218618222671, 'hidden_size': 32, 'learning_rate': 0.010753575352664455, 'sent_length': 15, 'use_class_weights': True}",7,1.6083,0.946,1.6046,0.9469,0.9457,0.9459
"{'dropout_prop': 0.039291761354054516, 'hidden_size': 64, 'learning_rate': 0.008306747220356554, 'sent_length': 8, 'use_class_weights': True}",9,1.5913,0.949,1.6046,0.9518,0.949,0.9496
"{'dropout_prop': 0.1043001538394625, 'hidden_size': 64, 'learning_rate': 0.004757275108087232, 'sent_length': 15, 'use_class_weights': False}",9,1.6267,0.909,1.6398,0.8856,0.9091,0.8949
"{'dropout_prop': 0.18154409740052252, 'hidden_size': 64, 'learning_rate': 0.005187534183821222, 'sent_length': 15, 'use_class_weights': True}",7,1.6226,0.935,1.6182,0.9359,0.9346,0.9334
"{'dropout_prop': 0.20316506154293312, 'hidden_size': 64, 'learning_rate': 0.003925344474282766, 'sent_length': 15, 'use_class_weights': True}",5,1.626,0.943,1.6141,0.9444,0.9435,0.9437
"{'dropout_prop': 0.1315359582162475, 'hidden_size': 64, 'learning_rate': 0.0057234200808611874, 'sent_length': 15, 'use_class_weights': True}",9,1.6023,0.937,1.6135,0.9378,0.9368,0.9371
"{'dropout_prop': 0.09098282963040101, 'hidden_size': 64, 'learning_rate': 0.007135253233001779, 'sent_length': 15, 'use_class_weights': True}",9,1.5889,0.953,1.5968,0.9544,0.9534,0.9535
"{'dropout_prop': 0.15499214014351567, 'hidden_size': 64, 'learning_rate': 0.004964241584271785, 'sent_length': 15, 'use_class_weights': True}",9,1.6137,0.938,1.616,0.9419,0.9379,0.9384
"{'dropout_prop': 0.21610332501894283, 'hidden_size': 64, 'learning_rate': 0.006137227314606088, 'sent_length': 15, 'use_class_weights': True}",9,1.5955,0.952,1.5965,0.9547,0.9523,0.9527
"{'dropout_prop': 6.257568017065118e-05, 'hidden_size': 64, 'learning_rate': 0.0034830939064892934, 'sent_length': 15, 'use_class_weights': True}",8,1.6177,0.938,1.6073,0.9434,0.9379,0.939
"{'dropout_prop': 0.05950381702582634, 'hidden_size': 64, 'learning_rate': 0.009489367156500849, 'sent_length': 15, 'use_class_weights': True}",9,1.6033,0.938,1.6141,0.94,0.9379,0.9381
"{'dropout_prop': 0.07794412321246699, 'hidden_size': 64, 'learning_rate': 0.006606742781713948, 'sent_length': 15, 'use_class_weights': True}",9,1.5987,0.958,1.5912,0.9591,0.9579,0.9581
"{'dropout_prop': 0.17530766254725821, 'hidden_size': 64, 'learning_rate': 0.004593248057657963, 'sent_length': 15, 'use_class_weights': True}",9,1.6024,0.95,1.6063,0.9511,0.9501,0.9501
"{'dropout_prop': 0.20675822011518688, 'hidden_size': 64, 'learning_rate': 0.007703575198272943, 'sent_length': 15, 'use_class_weights': True}",8,1.613,0.949,1.5961,0.952,0.949,0.9489
"{'dropout_prop': 0.26727653638179655, 'hidden_size': 64, 'learning_rate': 0.00419361944660557, 'sent_length': 15, 'use_class_weights': True}",9,1.6069,0.942,1.6144,0.9439,0.9424,0.9419
"{'dropout_prop': 0.1083423833842111, 'hidden_size': 64, 'learning_rate': 0.005270625168808988, 'sent_length': 15, 'use_class_weights': True}",9,1.5987,0.95,1.6039,0.9518,0.9501,0.9501
"{'dropout_prop': 0.1221009965504674, 'hidden_size': 128, 'learning_rate': 0.00298647558748671, 'sent_length': 15, 'use_class_weights': True}",8,1.6158,0.953,1.5979,0.9542,0.9534,0.9533
"{'dropout_prop': 0.019845592620799768, 'hidden_size': 64, 'learning_rate': 0.01630251726776331, 'sent_length': 10, 'use_class_weights': True}",7,1.6367,0.93,1.6212,0.9326,0.9302,0.93
"{'dropout_prop': 0.1465290594816661, 'hidden_size': 64, 'learning_rate': 0.0026871855139366293, 'sent_length': 12, 'use_class_weights': True}",9,1.6102,0.937,1.6208,0.9375,0.9368,0.9365
"{'dropout_prop': 0.22065781227135556, 'hidden_size': 128, 'learning_rate': 0.00888084265135723, 'sent_length': 15, 'use_class_weights': True}",9,1.6131,0.938,1.6154,0.9389,0.9379,0.9374
"{'dropout_prop': 0.16369742293078043, 'hidden_size': 32, 'learning_rate': 0.003248380457926092, 'sent_length': 15, 'use_class_weights': True}",7,1.6358,0.909,1.644,0.9141,0.9091,0.9088
"{'dropout_prop': 0.19314552316938782, 'hidden_size': 64, 'learning_rate': 0.008087234053480268, 'sent_length': 8, 'use_class_weights': True}",8,1.6189,0.935,1.6164,0.9378,0.9346,0.9355
"{'dropout_prop': 0.04793368586015939, 'hidden_size': 128, 'learning_rate': 0.0038115426317568853, 'sent_length': 15, 'use_class_weights': True}",7,1.6067,0.936,1.6223,0.9409,0.9357,0.9356
"{'dropout_prop': 0.24448427679108528, 'hidden_size': 64, 'learning_rate': 0.005910213340243471, 'sent_length': 15, 'use_class_weights': True}",8,1.6053,0.947,1.6121,0.9478,0.9468,0.9465
"{'dropout_prop': 0.09587063559203064, 'hidden_size': 64, 'learning_rate': 0.0048292800224149935, 'sent_length': 10, 'use_class_weights': False}",9,1.6883,0.854,1.6889,0.7978,0.8537,0.8222
"{'dropout_prop': 0.1339388990603447, 'hidden_size': 128, 'learning_rate': 0.005522047482872476, 'sent_length': 12, 'use_class_weights': True}",9,1.6021,0.945,1.6009,0.9469,0.9446,0.9449
"{'dropout_prop': 0.2860559471302305, 'hidden_size': 64, 'learning_rate': 0.012409134386525236, 'sent_length': 15, 'use_class_weights': True}",9,1.6157,0.931,1.6253,0.9327,0.9313,0.9314
"{'dropout_prop': 0.23212034239925913, 'hidden_size': 32, 'learning_rate': 0.007111662982965559, 'sent_length': 15, 'use_class_weights': True}",4,1.6445,0.905,1.6433,0.9106,0.9047,0.9056
"{'dropout_prop': 0.18073369036114437, 'hidden_size': 64, 'learning_rate': 0.002401842232750244, 'sent_length': 15, 'use_class_weights': True}",9,1.6337,0.936,1.614,0.9412,0.9357,0.9364
"{'dropout_prop': 0.15330371270136833, 'hidden_size': 128, 'learning_rate': 0.004450634659331442, 'sent_length': 8, 'use_class_weights': False}",9,1.6254,0.926,1.6179,0.9051,0.9257,0.9137
"{'dropout_prop': 0.11787195591313213, 'hidden_size': 64, 'learning_rate': 0.0028297477475394683, 'sent_length': 15, 'use_class_weights': True}",8,1.612,0.948,1.6032,0.9504,0.9479,0.9482
"{'dropout_prop': 0.08386400699915891, 'hidden_size': 128, 'learning_rate': 0.01017585398283971, 'sent_length': 15, 'use_class_weights': True}",9,1.61,0.93,1.6211,0.9317,0.9302,0.9293
"{'dropout_prop': 0.07211392926471458, 'hidden_size': 64, 'learning_rate': 0.013510029182984658, 'sent_length': 10, 'use_class_weights': True}",8,1.6064,0.938,1.6074,0.94,0.9379,0.9378
"{'dropout_prop': 0.2535453536198118, 'hidden_size': 32, 'learning_rate': 0.008401749099760627, 'sent_length': 12, 'use_class_weights': True}",9,1.5971,0.952,1.6057,0.954,0.9523,0.9526
"{'dropout_prop': 0.2040103618738962, 'hidden_size': 64, 'learning_rate': 0.003491060620729323, 'sent_length': 15, 'use_class_weights': True}",9,1.6095,0.945,1.6041,0.9476,0.9446,0.9451
"{'dropout_prop': 0.16634053412699198, 'hidden_size': 128, 'learning_rate': 0.006501010878695798, 'sent_length': 15, 'use_class_weights': False}",8,1.6842,0.877,1.6664,0.8221,0.8769,0.8463
"{'dropout_prop': 0.1445676259563532, 'hidden_size': 64, 'learning_rate': 0.0013339920667119916, 'sent_length': 8, 'use_class_weights': True}",9,1.6202,0.936,1.6163,0.9385,0.9357,0.9363
"{'dropout_prop': 0.19080224362958212, 'hidden_size': 64, 'learning_rate': 0.0038844514925439107, 'sent_length': 15, 'use_class_weights': True}",9,1.5969,0.947,1.6062,0.9494,0.9468,0.9474
"{'dropout_prop': 0.27424386346741597, 'hidden_size': 128, 'learning_rate': 0.0018708228762326692, 'sent_length': 15, 'use_class_weights': True}",7,1.6234,0.941,1.6141,0.9439,0.9412,0.9418
"{'dropout_prop': 0.43615999119609683, 'hidden_size': 64, 'learning_rate': 0.007723147214843139, 'sent_length': 15, 'use_class_weights': True}",8,1.6277,0.933,1.6117,0.9383,0.9335,0.9323
"{'dropout_prop': 0.1054497580143294, 'hidden_size': 32, 'learning_rate': 0.005119789657430284, 'sent_length': 10, 'use_class_weights': True}",8,1.6182,0.94,1.6131,0.9429,0.9401,0.9402
"{'dropout_prop': 0.03248085136146496, 'hidden_size': 64, 'learning_rate': 0.011216835365543947, 'sent_length': 12, 'use_class_weights': False}",9,1.6959,0.877,1.6666,0.8264,0.8769,0.8488
"{'dropout_prop': 0.3090728655246477, 'hidden_size': 128, 'learning_rate': 0.009193791320578883, 'sent_length': 15, 'use_class_weights': True}",7,1.6147,0.947,1.6023,0.9496,0.9468,0.9475
"{'dropout_prop': 0.010507551561355827, 'hidden_size': 64, 'learning_rate': 0.0012265592307749824, 'sent_length': 15, 'use_class_weights': True}",7,1.6597,0.915,1.636,0.9203,0.9146,0.916
"{'dropout_prop': 0.12484895536928386, 'hidden_size': 64, 'learning_rate': 0.005843750298362356, 'sent_length': 8, 'use_class_weights': True}",9,1.6074,0.937,1.6073,0.9394,0.9368,0.9361
"{'dropout_prop': 0.3676236529501199, 'hidden_size': 128, 'learning_rate': 0.004281575332157829, 'sent_length': 15, 'use_class_weights': True}",9,1.5979,0.958,1.59,0.959,0.9579,0.9576
"{'dropout_prop': 0.46771991978132016, 'hidden_size': 128, 'learning_rate': 0.007132140269369417, 'sent_length': 15, 'use_class_weights': True}",9,1.6141,0.94,1.6063,0.9425,0.9401,0.9404
"{'dropout_prop': 0.40260378017822107, 'hidden_size': 128, 'learning_rate': 0.006269711038528109, 'sent_length': 15, 'use_class_weights': False}",9,1.6789,0.868,1.6775,0.8469,0.8681,0.8466
"{'dropout_prop': 0.42673041244993437, 'hidden_size': 128, 'learning_rate': 0.003267393453290598, 'sent_length': 10, 'use_class_weights': True}",7,1.6061,0.939,1.6151,0.9433,0.939,0.9394
"{'dropout_prop': 0.4490167788179321, 'hidden_size': 128, 'learning_rate': 0.0025184240583882504, 'sent_length': 12, 'use_class_weights': True}",8,1.6139,0.922,1.6175,0.9281,0.9224,0.9236
"{'dropout_prop': 0.38827970250256133, 'hidden_size': 128, 'learning_rate': 0.002215518032706404, 'sent_length': 15, 'use_class_weights': True}",7,1.6142,0.937,1.6161,0.939,0.9368,0.9371
