params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'dropout_prop': 0.15371189838332688, 'hidden_size': 128, 'learning_rate': 0.00254991818630636, 'sent_length': 15, 'use_class_weights': True}",9,1.5913,0.937,1.6076,0.9401,0.9368,0.9372
"{'dropout_prop': 0.39903994671638726, 'hidden_size': 128, 'learning_rate': 0.012286876328707026, 'sent_length': 15, 'use_class_weights': True}",6,1.6674,0.87,1.6821,0.8853,0.8703,0.8716
"{'dropout_prop': 0.04493563532637643, 'hidden_size': 128, 'learning_rate': 0.0013855523484328242, 'sent_length': 15, 'use_class_weights': True}",9,1.6101,0.951,1.5991,0.9527,0.9512,0.9513
"{'dropout_prop': 0.00011207493401115681, 'hidden_size': 128, 'learning_rate': 0.006708670574540579, 'sent_length': 10, 'use_class_weights': True}",8,1.6084,0.94,1.6085,0.9431,0.9401,0.9402
"{'dropout_prop': 0.24490571373125933, 'hidden_size': 128, 'learning_rate': 0.010040894671901137, 'sent_length': 12, 'use_class_weights': True}",8,1.6138,0.948,1.6048,0.9506,0.9479,0.9484
"{'dropout_prop': 0.08825391900843987, 'hidden_size': 128, 'learning_rate': 0.0052166846052537335, 'sent_length': 15, 'use_class_weights': True}",9,1.5937,0.953,1.5982,0.9548,0.9534,0.9536
"{'dropout_prop': 0.3282623632214851, 'hidden_size': 128, 'learning_rate': 0.014538305260675885, 'sent_length': 15, 'use_class_weights': True}",5,1.6681,0.846,1.6895,0.8689,0.8459,0.8504
"{'dropout_prop': 0.10112358877162503, 'hidden_size': 32, 'learning_rate': 0.003684996539988322, 'sent_length': 12, 'use_class_weights': True}",9,1.6045,0.93,1.6179,0.9324,0.9302,0.9302
"{'dropout_prop': 0.022730777369510707, 'hidden_size': 64, 'learning_rate': 0.006400516901620847, 'sent_length': 10, 'use_class_weights': True}",9,1.6059,0.945,1.603,0.9459,0.9446,0.9445
"{'dropout_prop': 0.47105858363679487, 'hidden_size': 128, 'learning_rate': 0.0016729440534925997, 'sent_length': 8, 'use_class_weights': True}",9,1.6182,0.938,1.6244,0.9399,0.9379,0.9383
"{'dropout_prop': 0.19747769684030372, 'hidden_size': 32, 'learning_rate': 0.0021980647341531593, 'sent_length': 15, 'use_class_weights': True}",9,1.6161,0.928,1.6239,0.9306,0.9279,0.9283
"{'dropout_prop': 0.053707961684598876, 'hidden_size': 128, 'learning_rate': 0.0010823515883056267, 'sent_length': 12, 'use_class_weights': True}",8,1.6365,0.927,1.6232,0.932,0.9268,0.926
"{'dropout_prop': 0.23965748464368988, 'hidden_size': 64, 'learning_rate': 0.002548556818854435, 'sent_length': 8, 'use_class_weights': False}",9,1.6823,0.864,1.6785,0.8071,0.8636,0.8318
"{'dropout_prop': 0.3973151761436379, 'hidden_size': 32, 'learning_rate': 0.007116426826002946, 'sent_length': 10, 'use_class_weights': True}",8,1.6133,0.933,1.6172,0.9387,0.9335,0.9345
"{'dropout_prop': 0.2935237403859831, 'hidden_size': 128, 'learning_rate': 0.003975998667454371, 'sent_length': 15, 'use_class_weights': False}",9,1.6982,0.841,1.7003,0.7513,0.8415,0.7917
"{'dropout_prop': 0.16882036406541803, 'hidden_size': 128, 'learning_rate': 0.004731407902653947, 'sent_length': 8, 'use_class_weights': True}",8,1.6204,0.933,1.621,0.9353,0.9335,0.9334
"{'dropout_prop': 0.1322996063448639, 'hidden_size': 32, 'learning_rate': 0.019517506412109455, 'sent_length': 12, 'use_class_weights': False}",4,1.6899,0.87,1.6774,0.8231,0.8703,0.8442
"{'dropout_prop': 0.06504324087800456, 'hidden_size': 64, 'learning_rate': 0.008171544704023141, 'sent_length': 10, 'use_class_weights': True}",9,1.5899,0.948,1.5953,0.9499,0.9479,0.9482
