"","params","iteration","train_loss","val_accuracy","val_loss","val_f1","val_precision","val_recall"
"130","{'dropout': 0.14456530477909807, 'hidden_units': 256, 'learning_rate': 0.0011733571407883533, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5783,0.8647,1.7012,0.866,0.8702,0.8647
"131","{'dropout': 0.12228403133891178, 'hidden_units': 512, 'learning_rate': 0.0030999075595200543, 'optimizer': 'RMSprop', 'use_batch_norm': True}",18,1.5778,0.8619,1.7,0.8637,0.8691,0.8619
"132","{'dropout': 0.010895467624678138, 'hidden_units': 512, 'learning_rate': 0.0046025874430355935, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5756,0.8708,1.6947,0.8716,0.8735,0.8708
"133","{'dropout': 0.21751909610349304, 'hidden_units': 64, 'learning_rate': 0.0019539777042420665, 'optimizer': 'RMSprop', 'use_batch_norm': False}",24,1.6988,0.8042,1.7515,0.8096,0.8241,0.8042
"134","{'dropout': 0.09129715899877748, 'hidden_units': 128, 'learning_rate': 0.0015074583243185292, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5916,0.8597,1.7046,0.8594,0.8638,0.8597
"135","{'dropout': 0.2963267700858643, 'hidden_units': 512, 'learning_rate': 0.0013146752426419753, 'optimizer': 'Adam', 'use_batch_norm': True}",12,1.5902,0.8663,1.7081,0.8664,0.87,0.8663
"136","{'dropout': 0.11012776300033575, 'hidden_units': 512, 'learning_rate': 0.005206707899862283, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.5791,0.8658,1.7064,0.8665,0.8713,0.8658
"137","{'dropout': 0.06641124959603295, 'hidden_units': 256, 'learning_rate': 0.008882341744728316, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5831,0.8636,1.7025,0.8648,0.8704,0.8636
"138","{'dropout': 0.022021507459225705, 'hidden_units': 512, 'learning_rate': 0.0010529503913565303, 'optimizer': 'RMSprop', 'use_batch_norm': False}",0,2.4524,0.0943,2.4553,0.0162,0.0089,0.0943
"139","{'dropout': 0.042629190381403406, 'hidden_units': 64, 'learning_rate': 0.0024162159917852453, 'optimizer': 'Adam', 'use_batch_norm': True}",11,1.6056,0.8647,1.7106,0.8637,0.8663,0.8647
"140","{'dropout': 0.252243107208324, 'hidden_units': 512, 'learning_rate': 0.011744981969526808, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.6227,0.8486,1.7019,0.8512,0.8595,0.8486
"141","{'dropout': 0.13319739391887336, 'hidden_units': 128, 'learning_rate': 0.00791745774378328, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.5845,0.8541,1.7079,0.8544,0.8604,0.8541
"142","{'dropout': 0.07951794739790335, 'hidden_units': 512, 'learning_rate': 0.002127462096938841, 'optimizer': 'Adam', 'use_batch_norm': True}",13,1.5767,0.8697,1.6939,0.8699,0.872,0.8697
"143","{'dropout': 0.0013844017470649762, 'hidden_units': 512, 'learning_rate': 0.001122855393667474, 'optimizer': 'RMSprop', 'use_batch_norm': False}",5,2.4462,0.0993,2.4636,0.0179,0.0099,0.0993
"144","{'dropout': 0.3265537238213167, 'hidden_units': 256, 'learning_rate': 0.0016854705680632719, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5814,0.8619,1.7004,0.8627,0.8666,0.8619
"145","{'dropout': 0.19359737684307268, 'hidden_units': 512, 'learning_rate': 0.0029649377663038177, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5744,0.8713,1.7009,0.8703,0.8726,0.8713
"146","{'dropout': 0.05892530945957239, 'hidden_units': 512, 'learning_rate': 0.002179581634302846, 'optimizer': 'RMSprop', 'use_batch_norm': True}",21,1.5753,0.8724,1.6909,0.8726,0.8794,0.8724
"147","{'dropout': 0.03519771081943233, 'hidden_units': 512, 'learning_rate': 0.0018848717308663596, 'optimizer': 'RMSprop', 'use_batch_norm': True}",9,1.593,0.8575,1.7132,0.8569,0.863,0.8575
"148","{'dropout': 0.07165873613849272, 'hidden_units': 512, 'learning_rate': 0.001529323429286174, 'optimizer': 'RMSprop', 'use_batch_norm': True}",17,1.5766,0.8597,1.7016,0.8596,0.8641,0.8597
"149","{'dropout': 0.01466060957556466, 'hidden_units': 512, 'learning_rate': 0.002723378956800142, 'optimizer': 'RMSprop', 'use_batch_norm': True}",14,1.5851,0.8508,1.7027,0.8537,0.8608,0.8508
"150","{'dropout': 0.11423345816817936, 'hidden_units': 512, 'learning_rate': 0.0017969949900015724, 'optimizer': 'RMSprop', 'use_batch_norm': True}",16,1.5804,0.8586,1.7051,0.8591,0.8624,0.8586
"151","{'dropout': 0.026848224893006804, 'hidden_units': 512, 'learning_rate': 0.003316534948473056, 'optimizer': 'RMSprop', 'use_batch_norm': True}",10,1.5931,0.8547,1.7087,0.8542,0.8637,0.8547
"152","{'dropout': 0.09705729569647818, 'hidden_units': 512, 'learning_rate': 0.0022727177943352253, 'optimizer': 'RMSprop', 'use_batch_norm': True}",21,1.5756,0.8619,1.6948,0.8626,0.8666,0.8619
"153","{'dropout': 0.08451617478341084, 'hidden_units': 512, 'learning_rate': 0.0012441276828587876, 'optimizer': 'RMSprop', 'use_batch_norm': True}",23,1.5669,0.8658,1.6967,0.8662,0.869,0.8658
"154","{'dropout': 0.05327905611298428, 'hidden_units': 512, 'learning_rate': 0.0013991264682250203, 'optimizer': 'RMSprop', 'use_batch_norm': True}",18,1.5739,0.8735,1.6952,0.8731,0.8759,0.8735
"155","{'dropout': 0.16191523822729467, 'hidden_units': 512, 'learning_rate': 0.0020231815522558398, 'optimizer': 'RMSprop', 'use_batch_norm': True}",10,1.594,0.858,1.7045,0.8592,0.8648,0.858
"156","{'dropout': 0.06475824883492326, 'hidden_units': 512, 'learning_rate': 0.0015942554685643895, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.5732,0.8708,1.6985,0.8705,0.8724,0.8708
"157","{'dropout': 0.15120478652502625, 'hidden_units': 512, 'learning_rate': 0.004203332242817045, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.5788,0.8652,1.6985,0.8645,0.8708,0.8652
"158","{'dropout': 9.59819188825822e-05, 'hidden_units': 64, 'learning_rate': 0.0028708540878993514, 'optimizer': 'RMSprop', 'use_batch_norm': True}",19,1.5794,0.8602,1.7116,0.8601,0.8626,0.8602
"159","{'dropout': 0.18217243812092926, 'hidden_units': 512, 'learning_rate': 0.0016572711693530104, 'optimizer': 'RMSprop', 'use_batch_norm': True}",19,1.5799,0.8724,1.6977,0.8727,0.8755,0.8724
"160","{'dropout': 0.009340811515172784, 'hidden_units': 512, 'learning_rate': 0.0013466380392273874, 'optimizer': 'RMSprop', 'use_batch_norm': True}",21,1.5692,0.8713,1.6929,0.8714,0.8746,0.8713
"161","{'dropout': 0.04178068157038737, 'hidden_units': 128, 'learning_rate': 0.0036447055145259447, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.576,0.8547,1.7058,0.8552,0.8601,0.8547
"162","{'dropout': 0.12666895846317697, 'hidden_units': 512, 'learning_rate': 0.002596319843527811, 'optimizer': 'RMSprop', 'use_batch_norm': True}",12,1.5892,0.8663,1.7047,0.865,0.8669,0.8663
"163","{'dropout': 0.020494242983346733, 'hidden_units': 256, 'learning_rate': 0.0017964336881077642, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5704,0.8663,1.6983,0.8676,0.8737,0.8663
"164","{'dropout': 0.10447363674917029, 'hidden_units': 512, 'learning_rate': 0.0014830474818453884, 'optimizer': 'RMSprop', 'use_batch_norm': False}",0,2.4458,0.1758,2.4649,0.0526,0.0309,0.1758
"165","{'dropout': 0.05367651485517127, 'hidden_units': 512, 'learning_rate': 0.0012665030832843733, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5672,0.8735,1.6917,0.8746,0.8778,0.8735
"166","{'dropout': 0.07399331887110412, 'hidden_units': 512, 'learning_rate': 0.002441906622389855, 'optimizer': 'RMSprop', 'use_batch_norm': True}",7,1.6052,0.8602,1.7011,0.8617,0.8661,0.8602
"167","{'dropout': 0.034213777495699316, 'hidden_units': 64, 'learning_rate': 0.0010995040558010147, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5916,0.8469,1.7116,0.8493,0.8571,0.8469
"168","{'dropout': 0.13939766424265718, 'hidden_units': 128, 'learning_rate': 0.0019224890255412567, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.5811,0.8552,1.7147,0.8532,0.8558,0.8552
"169","{'dropout': 0.38416306707858366, 'hidden_units': 512, 'learning_rate': 0.0011774985698094025, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5794,0.8536,1.7006,0.856,0.8615,0.8536
"170","{'dropout': 0.0865649939148508, 'hidden_units': 512, 'learning_rate': 0.0022679215825920935, 'optimizer': 'Adam', 'use_batch_norm': False}",24,1.7348,0.8092,1.7749,0.7806,0.7583,0.8092
"171","{'dropout': 0.16999027064650585, 'hidden_units': 256, 'learning_rate': 0.003234162412820675, 'optimizer': 'RMSprop', 'use_batch_norm': True}",20,1.5812,0.8475,1.7117,0.8468,0.8556,0.8475
"172","{'dropout': 0.06113911548733146, 'hidden_units': 512, 'learning_rate': 0.0020624062807662207, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5735,0.8713,1.6993,0.8716,0.875,0.8713
"173","{'dropout': 5.89537803415037e-05, 'hidden_units': 512, 'learning_rate': 0.0010321256012504234, 'optimizer': 'RMSprop', 'use_batch_norm': True}",7,1.5984,0.8514,1.7057,0.8552,0.8692,0.8514
"174","{'dropout': 0.11650992752889439, 'hidden_units': 64, 'learning_rate': 0.003967137574834236, 'optimizer': 'Adam', 'use_batch_norm': True}",18,1.5958,0.8641,1.7035,0.8649,0.8674,0.8641
"175","{'dropout': 0.02699791149468828, 'hidden_units': 512, 'learning_rate': 0.0017166688417063814, 'optimizer': 'RMSprop', 'use_batch_norm': False}",3,2.4509,0.0727,2.4491,0.0098,0.0053,0.0727
"176","{'dropout': 0.09516498696933991, 'hidden_units': 128, 'learning_rate': 0.0014332796313523387, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5772,0.8469,1.7055,0.8504,0.8606,0.8469
"177","{'dropout': 0.23713496618028573, 'hidden_units': 512, 'learning_rate': 0.005818987523881671, 'optimizer': 'RMSprop', 'use_batch_norm': True}",23,1.5903,0.8292,1.7183,0.8305,0.8499,0.8292
"178","{'dropout': 0.011276911965987523, 'hidden_units': 512, 'learning_rate': 0.0015748610986084676, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.566,0.8802,1.6918,0.8797,0.8804,0.8802
"179","{'dropout': 0.34356258186648325, 'hidden_units': 256, 'learning_rate': 0.0013028054673384396, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.5823,0.8514,1.7155,0.8527,0.8597,0.8514
"180","{'dropout': 0.43535694277988707, 'hidden_units': 512, 'learning_rate': 0.0021766565784507963, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5852,0.8597,1.7037,0.8597,0.8631,0.8597
"181","{'dropout': 0.048844228159199886, 'hidden_units': 64, 'learning_rate': 0.0027981053365448124, 'optimizer': 'RMSprop', 'use_batch_norm': False}",24,2.3337,0.1664,2.2958,0.0602,0.1123,0.1664
"182","{'dropout': 0.03908271846937772, 'hidden_units': 512, 'learning_rate': 0.010369680070707325, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5945,0.8502,1.7004,0.8534,0.8644,0.8502
"183","{'dropout': 0.10574995511971208, 'hidden_units': 512, 'learning_rate': 0.0011762412515304358, 'optimizer': 'RMSprop', 'use_batch_norm': True}",19,1.5704,0.8691,1.6935,0.8695,0.8731,0.8691
"184","{'dropout': 0.07351178753352584, 'hidden_units': 128, 'learning_rate': 0.004428114250815667, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5773,0.8719,1.6948,0.8718,0.8735,0.8719
"185","{'dropout': 0.12539331686890248, 'hidden_units': 512, 'learning_rate': 0.0024397098919182393, 'optimizer': 'RMSprop', 'use_batch_norm': True}",22,1.5727,0.8674,1.6996,0.8676,0.8703,0.8674
"186","{'dropout': 0.020158277677245887, 'hidden_units': 512, 'learning_rate': 0.001012064527805849, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5639,0.8791,1.6858,0.8801,0.8824,0.8791
"187","{'dropout': 0.017088446448588403, 'hidden_units': 256, 'learning_rate': 0.0010192887137361177, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.6151,0.8636,1.7012,0.8629,0.8639,0.8636
"188","{'dropout': 0.024756826504570728, 'hidden_units': 512, 'learning_rate': 0.0010992965998798641, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5656,0.8741,1.6928,0.8752,0.8784,0.8741
"189","{'dropout': 0.303816648349658, 'hidden_units': 512, 'learning_rate': 0.0013670786190243484, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5729,0.8564,1.6996,0.8577,0.8635,0.8564
"190","{'dropout': 0.04456565431384313, 'hidden_units': 64, 'learning_rate': 0.0010066777367830314, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5885,0.8663,1.7112,0.8666,0.8697,0.8663
"191","{'dropout': 0.28132046952395995, 'hidden_units': 512, 'learning_rate': 0.0011987955691231368, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5814,0.8475,1.7001,0.8492,0.8587,0.8475
"192","{'dropout': 0.009639781939109957, 'hidden_units': 128, 'learning_rate': 0.0069417138280984956, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5752,0.8369,1.705,0.8407,0.8549,0.8369
"193","{'dropout': 0.2087220789677769, 'hidden_units': 512, 'learning_rate': 0.0010742640286804939, 'optimizer': 'Adam', 'use_batch_norm': False}",19,1.627,0.8619,1.693,0.8638,0.8702,0.8619
"194","{'dropout': 0.08275277816841312, 'hidden_units': 512, 'learning_rate': 0.0012430190774324198, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5691,0.8713,1.6903,0.8724,0.8742,0.8713
"195","{'dropout': 0.0011645684347958048, 'hidden_units': 256, 'learning_rate': 0.0015605687254172755, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5737,0.8713,1.6938,0.8714,0.8743,0.8713
"196","{'dropout': 0.032146731967222106, 'hidden_units': 512, 'learning_rate': 0.001428134419167121, 'optimizer': 'Adam', 'use_batch_norm': True}",12,1.578,0.8641,1.6939,0.8669,0.8751,0.8641
"197","{'dropout': 0.14629473748436866, 'hidden_units': 512, 'learning_rate': 0.0013159754053736943, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.572,0.8686,1.6971,0.8703,0.8738,0.8686
"198","{'dropout': 0.06138339005556491, 'hidden_units': 64, 'learning_rate': 0.017756967570690993, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5956,0.8602,1.7063,0.8623,0.8691,0.8602
"199","{'dropout': 0.06987587071818706, 'hidden_units': 512, 'learning_rate': 0.0011201200763989365, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5663,0.8741,1.6967,0.874,0.8767,0.8741
"200","{'dropout': 0.09681507434975432, 'hidden_units': 512, 'learning_rate': 0.0016592597320783027, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.6913,0.8325,1.7339,0.8309,0.8392,0.8325
"201","{'dropout': 0.05319615080639081, 'hidden_units': 128, 'learning_rate': 0.0010032938266994861, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5764,0.8602,1.7087,0.8595,0.8614,0.8602
"202","{'dropout': 0.02009723872888617, 'hidden_units': 512, 'learning_rate': 0.013235531636485285, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.597,0.8514,1.6994,0.8542,0.8661,0.8514
"203","{'dropout': 0.2650208511902904, 'hidden_units': 256, 'learning_rate': 0.0018537638692134775, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5807,0.8702,1.6992,0.8701,0.872,0.8702
"204","{'dropout': 0.03497312496271762, 'hidden_units': 512, 'learning_rate': 0.0017385142920610269, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5661,0.8647,1.6998,0.8651,0.868,0.8647
"205","{'dropout': 0.40701242580123126, 'hidden_units': 512, 'learning_rate': 0.002022193005497563, 'optimizer': 'Adam', 'use_batch_norm': True}",12,1.5996,0.8591,1.7037,0.8593,0.863,0.8591
"206","{'dropout': 0.0005884915090003939, 'hidden_units': 64, 'learning_rate': 0.0014919324762554785, 'optimizer': 'Adam', 'use_batch_norm': False}",21,1.6912,0.8236,1.7497,0.7935,0.7679,0.8236
"207","{'dropout': 0.11181326480278693, 'hidden_units': 512, 'learning_rate': 0.0010020465682123061, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.566,0.873,1.6935,0.8731,0.8749,0.873
"208","{'dropout': 0.15775280622729287, 'hidden_units': 512, 'learning_rate': 0.0012692137546435642, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5675,0.8857,1.6945,0.8856,0.8892,0.8857
"209","{'dropout': 0.1950608100472471, 'hidden_units': 128, 'learning_rate': 0.0011140696859398764, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5867,0.8597,1.7092,0.8602,0.8655,0.8597
"210","{'dropout': 0.08157711924729759, 'hidden_units': 512, 'learning_rate': 0.001365953306652739, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5668,0.8774,1.6841,0.8781,0.88,0.8774
"211","{'dropout': 0.17416813372478346, 'hidden_units': 512, 'learning_rate': 0.0012107011050325387, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5745,0.8641,1.6986,0.8644,0.8716,0.8641
"212","{'dropout': 0.13127284009559573, 'hidden_units': 256, 'learning_rate': 0.0013526859550616836, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5781,0.8647,1.7019,0.8657,0.8692,0.8647
"213","{'dropout': 0.48609678022332714, 'hidden_units': 512, 'learning_rate': 0.0014443332654633203, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.661,0.8369,1.7023,0.8394,0.8513,0.8369
"214","{'dropout': 0.08910548417169362, 'hidden_units': 512, 'learning_rate': 0.0015876539555530554, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5686,0.8663,1.7002,0.866,0.8698,0.8663
"215","{'dropout': 0.1373239655508504, 'hidden_units': 64, 'learning_rate': 0.001000508160559732, 'optimizer': 'Adam', 'use_batch_norm': True}",12,1.6313,0.8558,1.7191,0.8563,0.8616,0.8558
"216","{'dropout': 0.18751739069662332, 'hidden_units': 512, 'learning_rate': 0.00117758019637893, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5787,0.8663,1.6991,0.8665,0.8707,0.8663
"217","{'dropout': 0.0802436712642649, 'hidden_units': 512, 'learning_rate': 0.002635489877102589, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5735,0.8619,1.7119,0.8594,0.8653,0.8619
"218","{'dropout': 0.10533738378352041, 'hidden_units': 128, 'learning_rate': 0.001049977371403633, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5822,0.8625,1.7046,0.8638,0.8681,0.8625
"219","{'dropout': 0.12065145410436941, 'hidden_units': 512, 'learning_rate': 0.0019219578314073108, 'optimizer': 'Adam', 'use_batch_norm': False}",24,1.6995,0.8258,1.7689,0.8097,0.7985,0.8258
"220","{'dropout': 0.22761059715555915, 'hidden_units': 256, 'learning_rate': 0.00127992367895002, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.575,0.8591,1.7005,0.8602,0.8647,0.8591
"221","{'dropout': 0.21539329468127283, 'hidden_units': 512, 'learning_rate': 0.0015165507521590744, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.573,0.8702,1.7045,0.8701,0.8734,0.8702
"222","{'dropout': 0.1610609078357193, 'hidden_units': 512, 'learning_rate': 0.0016655562770900628, 'optimizer': 'Adam', 'use_batch_norm': True}",18,1.5719,0.8608,1.6966,0.8618,0.8681,0.8608
"223","{'dropout': 0.150650423717685, 'hidden_units': 64, 'learning_rate': 0.0023582761168553625, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.594,0.8547,1.7164,0.8549,0.8602,0.8547
"224","{'dropout': 0.04083125314802466, 'hidden_units': 512, 'learning_rate': 0.0017747596986238418, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5708,0.8697,1.6926,0.8694,0.8712,0.8697
"225","{'dropout': 0.19972899676993133, 'hidden_units': 512, 'learning_rate': 0.001067431327145597, 'optimizer': 'Adam', 'use_batch_norm': False}",20,1.6229,0.8564,1.6925,0.8584,0.8673,0.8564
"226","{'dropout': 0.24752444067185136, 'hidden_units': 128, 'learning_rate': 0.009294157675878482, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.6071,0.8491,1.7103,0.8509,0.856,0.8491
"227","{'dropout': 0.06573139519252882, 'hidden_units': 512, 'learning_rate': 0.005348083296993149, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5793,0.8708,1.6902,0.8712,0.8751,0.8708
"228","{'dropout': 0.09241045183711291, 'hidden_units': 256, 'learning_rate': 0.0011492413381051269, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5789,0.8591,1.7068,0.8596,0.8695,0.8591
"229","{'dropout': 0.31703072000233967, 'hidden_units': 512, 'learning_rate': 0.0013703099511043503, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5809,0.863,1.6962,0.864,0.8683,0.863
"230","{'dropout': 0.07294725197946406, 'hidden_units': 512, 'learning_rate': 0.002174608113079049, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5735,0.8702,1.6963,0.8709,0.8742,0.8702
"231","{'dropout': 0.36215649696225116, 'hidden_units': 64, 'learning_rate': 0.016353961779384207, 'optimizer': 'Adam', 'use_batch_norm': False}",24,2.1277,0.4786,2.1701,0.4107,0.3838,0.4786
"232","{'dropout': 0.05359415245950274, 'hidden_units': 512, 'learning_rate': 0.0020447766053730693, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5675,0.8674,1.6936,0.8687,0.8754,0.8674
"233","{'dropout': 0.011547181906260374, 'hidden_units': 512, 'learning_rate': 0.00142037037085539, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5682,0.8652,1.6945,0.8655,0.8741,0.8652
"234","{'dropout': 0.11627155052058628, 'hidden_units': 128, 'learning_rate': 0.008043824120436143, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5976,0.8419,1.7065,0.8436,0.8515,0.8419
"235","{'dropout': 0.14151266234190468, 'hidden_units': 512, 'learning_rate': 0.0016267617738914043, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5659,0.8763,1.6917,0.8767,0.8791,0.8763
"236","{'dropout': 0.17768255710312997, 'hidden_units': 512, 'learning_rate': 0.0012383085133685265, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5791,0.8819,1.6868,0.8817,0.8828,0.8819
"237","{'dropout': 0.21979552148715997, 'hidden_units': 256, 'learning_rate': 0.006084994823487665, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5844,0.8713,1.6953,0.8714,0.8759,0.8713
"238","{'dropout': 0.2918074423931657, 'hidden_units': 512, 'learning_rate': 0.0034341885674212653, 'optimizer': 'Adam', 'use_batch_norm': False}",11,2.1244,0.5092,2.1364,0.392,0.3333,0.5092
"239","{'dropout': 0.24029102946809766, 'hidden_units': 512, 'learning_rate': 0.0030144447656382176, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5747,0.8575,1.6997,0.8593,0.8642,0.8575
"240","{'dropout': 0.17560075432005462, 'hidden_units': 64, 'learning_rate': 0.0012500173775807156, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.6057,0.8619,1.7088,0.8626,0.8647,0.8619
"241","{'dropout': 0.18280223425146103, 'hidden_units': 512, 'learning_rate': 0.001136012353644319, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.571,0.868,1.7005,0.8682,0.8733,0.868
"242","{'dropout': 0.25997845915702994, 'hidden_units': 512, 'learning_rate': 0.0018647453514312972, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5835,0.8625,1.7036,0.863,0.8677,0.8625
"243","{'dropout': 0.23352866872703773, 'hidden_units': 128, 'learning_rate': 0.0014877957447635248, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5884,0.8541,1.7055,0.8548,0.8587,0.8541
"244","{'dropout': 0.20183799915230383, 'hidden_units': 512, 'learning_rate': 0.010834949336117056, 'optimizer': 'Adam', 'use_batch_norm': False}",0,2.4509,0.1237,2.4524,0.0272,0.0153,0.1237
"245","{'dropout': 0.16812289231662741, 'hidden_units': 256, 'learning_rate': 0.001068932698366676, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5775,0.8602,1.6982,0.8614,0.8665,0.8602
"246","{'dropout': 0.154230326204629, 'hidden_units': 512, 'learning_rate': 0.0013120305609801216, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5709,0.8691,1.6989,0.8695,0.872,0.8691
"247","{'dropout': 0.2720452964544677, 'hidden_units': 512, 'learning_rate': 0.0017704462319894578, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5821,0.8602,1.7056,0.8596,0.8645,0.8602
"248","{'dropout': 0.33911063833668026, 'hidden_units': 64, 'learning_rate': 0.0010044160746422786, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.652,0.8369,1.7274,0.8404,0.8522,0.8369
"249","{'dropout': 0.2523416651828303, 'hidden_units': 512, 'learning_rate': 0.001203913522661361, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5683,0.8735,1.6894,0.874,0.8783,0.8735
"250","{'dropout': 0.13117034103600367, 'hidden_units': 512, 'learning_rate': 0.004824373866490595, 'optimizer': 'Adam', 'use_batch_norm': False}",6,2.3132,0.3655,2.2982,0.2215,0.164,0.3655
"251","{'dropout': 0.35283602305322764, 'hidden_units': 128, 'learning_rate': 0.0038079151507142382, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.6111,0.8508,1.7161,0.853,0.8619,0.8508
"252","{'dropout': 0.18823582218693513, 'hidden_units': 512, 'learning_rate': 0.0019522078794778242, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5731,0.8663,1.6915,0.8672,0.8708,0.8663
"253","{'dropout': 0.10515293671138146, 'hidden_units': 512, 'learning_rate': 0.0025126206265020093, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.57,0.8691,1.6878,0.87,0.8741,0.8691
"254","{'dropout': 0.2092138403936111, 'hidden_units': 256, 'learning_rate': 0.0013550257906161972, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.576,0.8564,1.7066,0.8581,0.864,0.8564
"255","{'dropout': 0.12303595626114008, 'hidden_units': 512, 'learning_rate': 0.0022414110171274887, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5813,0.8586,1.6993,0.8604,0.869,0.8586
"256","{'dropout': 0.046830977425402535, 'hidden_units': 64, 'learning_rate': 0.0015931515824864032, 'optimizer': 'Adam', 'use_batch_norm': False}",21,1.6213,0.8719,1.6956,0.8717,0.8735,0.8719
"257","{'dropout': 0.026513804420780766, 'hidden_units': 512, 'learning_rate': 0.001130876409602604, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5649,0.8658,1.7001,0.8664,0.8709,0.8658
"258","{'dropout': 0.1383726416460646, 'hidden_units': 512, 'learning_rate': 0.0025413844830390994, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5712,0.8641,1.6969,0.8655,0.8716,0.8641
"259","{'dropout': 0.09947838879510391, 'hidden_units': 512, 'learning_rate': 0.0028633209862410766, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5706,0.8691,1.6952,0.8694,0.8727,0.8691
