params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'bidirectional': True, 'dropout_prop': 0.07998689619269522, 'learning_rate': 0.0037503911792266652, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 8, 'use_class_weights': False}",8,0.2443,0.922,0.2477,0.9281,0.9219,0.9221
"{'bidirectional': True, 'dropout_prop': 0.09570841065579494, 'learning_rate': 0.010968290222563746, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 8, 'use_class_weights': False}",8,0.0774,0.961,0.1177,0.9709,0.9609,0.9623
"{'bidirectional': True, 'dropout_prop': 0.008432149122229879, 'learning_rate': 0.0034974589817960123, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 8, 'use_class_weights': False}",9,0.2333,0.938,0.211,0.9409,0.9375,0.9339
"{'bidirectional': True, 'dropout_prop': 0.06212855695714872, 'learning_rate': 0.007525194836059985, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 8, 'use_class_weights': False}",9,0.1082,0.969,0.1343,0.9707,0.9688,0.9686
"{'bidirectional': True, 'dropout_prop': 0.11286143009644074, 'learning_rate': 0.015818368700466167, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",7,0.0741,0.992,0.0307,0.9926,0.9922,0.9921
"{'bidirectional': True, 'dropout_prop': 0.11295277550682355, 'learning_rate': 0.015327936537206124, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",9,0.0462,0.984,0.0453,0.9857,0.9844,0.9843
"{'bidirectional': True, 'dropout_prop': 0.10642160117622211, 'learning_rate': 0.018106597745479916, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",8,0.067,0.984,0.035,0.9855,0.9844,0.9843
"{'bidirectional': True, 'dropout_prop': 0.21558003987850166, 'learning_rate': 0.022555249647444216, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': True}",8,0.0911,0.992,0.0781,0.9932,0.9922,0.9923
"{'bidirectional': True, 'dropout_prop': 0.11641247893916046, 'learning_rate': 0.014056521068088874, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",9,0.0553,0.984,0.051,0.9853,0.9844,0.9838
"{'bidirectional': True, 'dropout_prop': 0.23616086720558815, 'learning_rate': 0.020560069215407893, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",6,0.0675,0.992,0.0273,0.9927,0.9922,0.9922
"{'bidirectional': True, 'dropout_prop': 0.24338376162173644, 'learning_rate': 0.029787976092549465, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': True}",6,0.1031,0.977,0.0725,0.9798,0.9766,0.9764
"{'bidirectional': True, 'dropout_prop': 0.17665639259474208, 'learning_rate': 0.02318120952027118, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.0952,1.0,0.0063,1.0,1.0,1.0
"{'bidirectional': True, 'dropout_prop': 0.33480346128628413, 'learning_rate': 0.019709759069679533, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",7,0.1792,0.984,0.0842,0.9856,0.9844,0.9843
"{'bidirectional': False, 'dropout_prop': 0.26344894169569194, 'learning_rate': 0.02285399827061738, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,2.1411,0.312,1.9911,0.1118,0.3125,0.1633
"{'bidirectional': True, 'dropout_prop': 0.17677795265496377, 'learning_rate': 0.027223721472816875, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",8,0.2063,0.977,0.0736,0.9844,0.9766,0.9783
"{'bidirectional': True, 'dropout_prop': 0.22663620946420004, 'learning_rate': 0.013069325740412984, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",8,0.1415,0.977,0.0711,0.9781,0.9766,0.9766
"{'bidirectional': False, 'dropout_prop': 0.14127818120023508, 'learning_rate': 0.0026544761349338968, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': True}",6,2.3953,0.117,2.3931,0.0201,0.1172,0.0343
"{'bidirectional': True, 'dropout_prop': 0.3237874881637775, 'learning_rate': 0.006618986291819648, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",8,0.2296,0.977,0.0986,0.9803,0.9766,0.9766
"{'bidirectional': True, 'dropout_prop': 0.425355952783929, 'learning_rate': 0.001520947312245216, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': False}",8,0.4294,0.906,0.329,0.908,0.9062,0.9042
"{'bidirectional': False, 'dropout_prop': 0.19223634057754657, 'learning_rate': 0.020532274932064568, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",7,2.2628,0.234,2.1745,0.0549,0.2344,0.089
"{'bidirectional': True, 'dropout_prop': 0.2646612382103956, 'learning_rate': 0.024128813024963378, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': True}",8,0.0907,0.961,0.1016,0.9635,0.9609,0.9611
"{'bidirectional': True, 'dropout_prop': 0.1636930649994352, 'learning_rate': 0.004057358963638715, 'nb_lstm_layers': 3, 'nb_lstm_units': 128, 'sent_length': 12, 'use_class_weights': False}",7,0.2573,0.922,0.2669,0.9273,0.9219,0.9218
"{'bidirectional': False, 'dropout_prop': 0.42590931541456784, 'learning_rate': 0.029977881706902597, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': False}",5,2.2636,0.211,2.2039,0.0445,0.2109,0.0735
"{'bidirectional': True, 'dropout_prop': 0.318571513752247, 'learning_rate': 0.008387212912762818, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",8,0.19,0.977,0.1213,0.9786,0.9766,0.9768
