params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'bidirectional': True, 'dropout_prop': 0.18969807825822965, 'learning_rate': 0.02090129848249343, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",9,0.0416,1.0,0.0091,1.0,1.0,1.0
"{'bidirectional': True, 'dropout_prop': 0.05754518178654042, 'learning_rate': 0.01054948903840586, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",9,0.1825,0.969,0.151,0.9738,0.9688,0.9695
"{'bidirectional': True, 'dropout_prop': 0.33216277913434383, 'learning_rate': 0.008870940704634456, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': True}",9,0.1031,0.984,0.1183,0.985,0.9844,0.9839
"{'bidirectional': True, 'dropout_prop': 0.43783431801171846, 'learning_rate': 0.0056946833189843215, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': False}",8,0.2558,0.953,0.2467,0.9583,0.9531,0.9535
"{'bidirectional': True, 'dropout_prop': 0.12152933309713167, 'learning_rate': 0.012797592506788618, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",8,0.0798,0.992,0.0364,0.9931,0.9922,0.9923
"{'bidirectional': False, 'dropout_prop': 0.1086994434233935, 'learning_rate': 0.0014081439481656228, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",9,2.0126,0.352,1.902,0.1769,0.3516,0.2085
"{'bidirectional': True, 'dropout_prop': 0.09588391912771257, 'learning_rate': 0.019277405285818082, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 8, 'use_class_weights': False}",5,0.0854,1.0,0.0473,1.0,1.0,1.0
"{'bidirectional': True, 'dropout_prop': 0.14773466462578327, 'learning_rate': 0.0052399909005792925, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': True}",6,0.3946,0.93,0.239,0.9406,0.9297,0.9301
"{'bidirectional': True, 'dropout_prop': 0.07781197015275107, 'learning_rate': 0.009405865156656467, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",9,0.0621,0.977,0.0826,0.979,0.9766,0.9768
"{'bidirectional': True, 'dropout_prop': 0.22055579729916389, 'learning_rate': 0.017054869195292106, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 8, 'use_class_weights': False}",9,0.1168,0.969,0.0551,0.9742,0.9688,0.9697
"{'bidirectional': False, 'dropout_prop': 0.28891567373300836, 'learning_rate': 0.014078935038706232, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",1,2.2729,0.289,2.211,0.1422,0.2891,0.1381
"{'bidirectional': True, 'dropout_prop': 0.07015982318642533, 'learning_rate': 0.011869465941707975, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': False}",9,0.0823,0.992,0.0512,0.9929,0.9922,0.9921
"{'bidirectional': True, 'dropout_prop': 0.37504825351598814, 'learning_rate': 0.025911070439822905, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",7,0.1196,0.969,0.0679,0.9736,0.9688,0.9692
"{'bidirectional': True, 'dropout_prop': 0.01459319669562592, 'learning_rate': 0.015471787289367165, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 8, 'use_class_weights': True}",9,0.1391,0.945,0.1517,0.9515,0.9453,0.9462
"{'bidirectional': True, 'dropout_prop': 0.2618849855285419, 'learning_rate': 0.0062582109581589595, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",7,0.1605,0.953,0.1504,0.9603,0.9531,0.9544
"{'bidirectional': False, 'dropout_prop': 0.16154531881996917, 'learning_rate': 0.02203946915157296, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",4,2.2717,0.234,2.2277,0.0549,0.2344,0.089
"{'bidirectional': True, 'dropout_prop': 0.04353221949611785, 'learning_rate': 0.02865396739509209, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",9,0.0225,0.992,0.0143,0.9927,0.9922,0.9921
"{'bidirectional': True, 'dropout_prop': 0.08770464905912236, 'learning_rate': 0.007841056026012542, 'nb_lstm_layers': 2, 'nb_lstm_units': 32, 'sent_length': 10, 'use_class_weights': False}",8,0.1533,0.984,0.0736,0.9852,0.9844,0.9842
"{'bidirectional': True, 'dropout_prop': 0.19895215828027835, 'learning_rate': 0.0016009187052284843, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': True}",7,0.3524,0.922,0.2212,0.9366,0.9219,0.9258
"{'bidirectional': True, 'dropout_prop': 0.46343437484490035, 'learning_rate': 0.020349522943711885, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",8,0.1232,0.969,0.1733,0.9752,0.9688,0.9697
"{'bidirectional': False, 'dropout_prop': 0.24289777052592412, 'learning_rate': 0.017641341027500243, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 8, 'use_class_weights': False}",6,2.2619,0.234,2.2068,0.208,0.2344,0.0991
"{'bidirectional': True, 'dropout_prop': 0.4869083700778377, 'learning_rate': 0.013426583754157694, 'nb_lstm_layers': 3, 'nb_lstm_units': 32, 'sent_length': 12, 'use_class_weights': False}",9,0.1844,0.945,0.1722,0.9498,0.9453,0.9443
"{'bidirectional': True, 'dropout_prop': 0.06141144588719082, 'learning_rate': 0.010820006906738252, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.0454,0.992,0.0383,0.9926,0.9922,0.9921
"{'bidirectional': True, 'dropout_prop': 0.17444178474800626, 'learning_rate': 0.024104609076121962, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': True}",9,0.092,0.977,0.0853,0.9788,0.9766,0.9767
"{'bidirectional': True, 'dropout_prop': 0.02991951428669671, 'learning_rate': 0.007102768649955585, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",8,0.0733,0.984,0.0517,0.9857,0.9844,0.9839
"{'bidirectional': False, 'dropout_prop': 0.20992106501517954, 'learning_rate': 0.002785541207474199, 'nb_lstm_layers': 3, 'nb_lstm_units': 32, 'sent_length': 12, 'use_class_weights': False}",4,2.2661,0.234,2.2184,0.0549,0.2344,0.089
"{'bidirectional': True, 'dropout_prop': 0.14084149672078577, 'learning_rate': 0.029834459503963677, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.0428,0.992,0.0365,0.9932,0.9922,0.9923
"{'bidirectional': True, 'dropout_prop': 0.11162147884619958, 'learning_rate': 0.01878031386890278, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 8, 'use_class_weights': False}",9,0.093,0.977,0.0947,0.9785,0.9766,0.9767
"{'bidirectional': True, 'dropout_prop': 0.13029220005599781, 'learning_rate': 0.0034109483686812067, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': True}",8,0.2285,0.961,0.1931,0.9649,0.9609,0.9614
"{'bidirectional': True, 'dropout_prop': 0.3949929897021346, 'learning_rate': 0.0022230935463803192, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",8,0.2671,0.906,0.2684,0.9158,0.9062,0.9066
"{'bidirectional': False, 'dropout_prop': 0.0035025377303143507, 'learning_rate': 0.012508330693535978, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",9,1.3388,0.609,1.2269,0.5156,0.6094,0.539
"{'bidirectional': True, 'dropout_prop': 0.27239105728415036, 'learning_rate': 0.026398288605220248, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': False}",9,0.1494,0.945,0.2221,0.9505,0.9453,0.9409
"{'bidirectional': True, 'dropout_prop': 0.05232710511838, 'learning_rate': 0.004742401541477178, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.1063,0.977,0.103,0.9793,0.9766,0.9768
"{'bidirectional': True, 'dropout_prop': 0.09800915275528724, 'learning_rate': 0.015876223650488276, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': True}",7,0.1929,0.984,0.1048,0.9853,0.9844,0.9837
"{'bidirectional': True, 'dropout_prop': 0.15490470258009406, 'learning_rate': 0.0011691643055344102, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",9,0.8206,0.781,0.7783,0.8402,0.7812,0.7757
"{'bidirectional': False, 'dropout_prop': 0.3410026858632852, 'learning_rate': 0.014891593587211519, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 8, 'use_class_weights': False}",9,1.1465,0.672,0.971,0.6663,0.6719,0.6504
